QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Team,Year
25334805.0,4433346.0,16885326.0,4133728.0,28392364.0,79179569.0,14224578.0,10044940.0,20449321.0,7261255.0,6603699.0,58583793.0,Steelers,2016
15259305.0,5014925.0,17034672.0,12753868.0,26847155.0,76909925.0,5119235.0,14912527.0,13450124.0,12755434.0,4775449.0,51012769.0,Patriots,2016
17180000.0,7117376.0,18017691.0,8274768.0,25663138.0,76252973.0,17468654.0,14930795.0,5378711.0,7089050.0,18462884.0,63330094.0,Chargers,2016
25631100.0,1852741.0,21945916.0,5486900.0,21046268.0,75962925.0,3803031.0,20886504.0,10513747.0,4903067.0,6580038.0,46686387.0,Falcons,2016
12430538.0,13666191.0,8596564.0,7804564.0,32879606.0,75377463.0,11885987.0,16151461.0,11877574.0,12925603.0,16485260.0,69325885.0,Vikings,2016
20140353.0,2164522.0,23144751.0,4465009.0,25002276.0,74916911.0,10499728.0,23295184.0,11928466.0,3785524.0,9703965.0,59212867.0,Bears,2016
21450000.0,10958863.0,8550593.0,8019942.0,25130242.0,74109640.0,9915073.0,5907171.0,18305233.0,5817094.0,3505394.0,43449965.0,Panthers,2016
19980000.0,5551333.0,14669690.0,11144550.0,20978970.0,72324543.0,11141107.0,17579573.0,6160859.0,7650838.0,13866511.0,56398888.0,Colts,2016
14195413.0,7582248.0,17965568.0,4895878.0,26963355.0,71602462.0,15774614.0,15267615.0,15238247.0,10932963.0,20040214.0,77253653.0,Bengals,2016
8192029.0,9960806.0,20084145.0,4575686.0,28332177.0,71144843.0,18489165.0,14390783.0,15028993.0,5670300.0,21537490.0,75116731.0,Buccaneers,2016
20967647.0,5171763.0,19073522.0,5942819.0,19298535.0,70454286.0,23704115.0,12115452.0,6216592.0,11210539.0,16623998.0,69870696.0,Cardinals,2016
19910320.0,4891731.0,20545094.0,3544204.0,20810535.0,69701884.0,14048475.0,32922762.0,1857299.0,10976780.0,16459880.0,76265196.0,Packers,2016
4623009.0,2818849.0,19361975.0,5870639.0,36972041.0,69646513.0,10767380.0,19443717.0,7072959.0,12697085.0,20847900.0,70829041.0,Raiders,2016
23338824.0,3971695.0,17699492.0,6514242.0,17174595.0,68698848.0,8782820.0,8535944.0,13539421.0,11189104.0,8071148.0,50118437.0,Lions,2016
25595300.0,9665597.0,15930551.0,3014714.0,13382316.0,67588478.0,9138463.0,24753166.0,12393270.0,3598913.0,21773449.0,71657261.0,Giants,2016
10864196.0,5551588.0,14724668.0,11943324.0,23735090.0,66818866.0,33501913.0,7011441.0,11297021.0,7647569.0,16930497.0,76388441.0,Jaguars,2016
24056900.0,2492212.0,13619295.0,8561035.0,18007403.0,66736845.0,7240013.0,17109523.0,4802149.0,18916487.0,13055152.0,61123324.0,Ravens,2016
10107898.0,5337110.0,20760335.0,2530923.0,27844419.0,66580685.0,21908891.0,2652225.0,10859069.0,7858962.0,24531901.0,67811048.0,Jets,2016
9960643.0,10317028.0,4931355.0,6394996.0,33687976.0,65291998.0,9762192.0,19854836.0,12105117.0,11531668.0,7119979.0,60373792.0,Eagles,2016
20232200.0,8036819.0,16078663.0,4923789.0,14976072.0,64247543.0,17326136.0,21124929.0,7381104.0,15661151.0,5252667.0,66745987.0,Chiefs,2016
7534058.0,7603960.0,14852328.0,10992080.0,21398613.0,62381039.0,15355883.0,17193846.0,8042363.0,10382798.0,13084964.0,64059854.0,Titans,2016
14412646.0,7911734.0,6448981.0,2062362.0,31103538.0,61939261.0,22938450.0,14197538.0,14400101.0,5327548.0,19939515.0,76803152.0,Texans,2016
13281182.0,1974686.0,6367688.0,11317299.0,28834646.0,61775501.0,17479805.0,24908290.0,8873417.0,11884805.0,12949485.0,76095802.0,Dolphins,2016
23694507.0,3028926.0,11876072.0,5615042.0,16923639.0,61138186.0,9996826.0,13678890.0,16215848.0,10807904.0,9075198.0,59774666.0,49ers,2016
10286322.0,10305929.0,12971463.0,7994746.0,19315114.0,60873574.0,22682421.0,11436205.0,4326517.0,14367753.0,15208647.0,68021543.0,Bills,2016
9453311.0,6684248.0,16984504.0,7779092.0,18948473.0,59849628.0,12337912.0,22337341.0,9904864.0,6193434.0,14857989.0,65631540.0,Rams,2016
